TransactionLineId,TransactionId,ProductId,Quantity,UnitPriceEUR,LineDiscountPct,NetAmountEUR
TL000000001,TR00000522,PR00682,5.0,30.1,0.0117,148.71
TL000000002,TR00000737,PR00136,1.0,49.97,0.0108,49.43
TL000000003,TR00001960,PR00372,7.0,35.24,0.1421,211.66
TL000000004,TR00000857,PR00104,1.0,16.19,0.1412,13.9
TL000000005,TR00001696,PR00532,4.0,102.36,0.1105,364.21
TL000000006,TR00000240,PR00667,2.0,83.71,0.0444,159.99
TL000000007,TR00000902,PR00218,1.0,37.37,0.0686,34.81
TL000000008,TR00000240,PR00045,7.53,65.87,0.1782,407.62
TL000000009,TR00000519,PR00347,5.0,52.15,0.0337,251.94
TL000000010,TR00000719,PR00543,1.0,107.18,0.1478,91.34
TL000000011,TR00000535,PR00526,3.0,85.86,0.1707,213.61
TL000000012,TR00001389,PR00119,5.0,114.73,0.1139,508.31
TL000000013,TR00001805,PR00133,6.02,73.44,0.031,428.38
TL000000014,TR00001638,PR00201,3.0,36.42,0.0261,106.41
TL000000015,TR00000453,PR00677,2.99,123.13,0.0178,361.61
TL000000016,TR00001071,PR00605,9.0,149.39,0.0242,1312.07
TL000000017,TR00000911,PR00156,6.66,125.4,0.0582,786.49
TL000000018,TR00000225,PR00496,11.0,52.85,0.0863,531.21
TL000000019,TR00001651,PR00078,1.81,19.5,0.0034,35.18
TL000000020,TR00001677,PR00104,2.0,18.81,0.0606,35.33
TL000000021,TR00000484,PR00700,4.0,24.63,0.1349,85.23
TL000000022,TR00000787,PR00516,4.28,36.16,0.1457,132.23
TL000000023,TR00001308,PR00128,3.0,4.49,0.0758,12.46
TL000000024,TR00001981,PR00231,3.0,5.79,0.0811,15.96
TL000000025,TR00000921,PR00220,2.87,85.27,0.066,228.57
TL000000026,TR00000973,PR00409,3.0,102.33,0.0433,293.72
TL000000027,TR00001628,PR00377,3.77,43.0,0.168,134.88
TL000000028,TR00000328,PR00334,6.0,42.14,0.0438,241.74
TL000000029,TR00000566,PR00490,1.0,40.03,0.0962,36.18
TL000000030,TR00001470,PR00526,7.0,99.88,0.0667,652.48
TL000000031,TR00001023,PR00657,5.0,130.85,0.1427,560.92
TL000000032,TR00000308,PR00212,3.32,31.74,0.0059,104.74
TL000000033,TR00000209,PR00124,3.0,11.62,0.1565,29.4
TL000000034,TR00000712,PR00031,2.69,42.03,0.0938,102.46
TL000000035,TR00001941,PR00315,5.0,107.52,0.1105,478.21
TL000000036,TR00000168,PR00434,5.06,39.37,0.0103,197.18
TL000000037,TR00000010,PR00611,3.79,74.52,0.0308,273.74
TL000000038,TR00001104,PR00653,2.75,55.4,0.1171,134.5
TL000000039,TR00001082,PR00312,6.33,79.47,0.0736,465.97
TL000000040,TR00000412,PR00211,5.0,12.58,0.1245,55.05
TL000000041,TR00001956,PR00258,3.35,52.95,0.1485,151.03
TL000000042,TR00002131,PR00221,6.0,47.26,0.0137,279.68
TL000000043,TR00001153,PR00454,8.0,81.55,0.1398,561.15
TL000000044,TR00000985,PR00202,6.0,55.02,0.1457,282.01
TL000000045,TR00001696,PR00330,4.0,25.55,0.0912,92.88
TL000000046,TR00000957,PR00558,15.0,68.63,0.0341,994.31
TL000000047,TR00001219,PR00071,3.0,97.01,0.1322,252.58
TL000000048,TR00002095,PR00135,1.12,45.96,0.0547,48.66
TL000000049,TR00000273,PR00300,1.87,9.4,0.0767,16.23
TL000000050,TR00001695,PR00135,3.32,45.96,0.0153,150.26
TL000000051,TR00001716,PR00666,8.0,142.55,0.083,1045.72
TL000000052,TR00001904,PR00558,1.0,82.27,0.0812,75.59
TL000000053,TR00001882,PR00660,3.0,45.61,0.1499,116.32
TL000000054,TR00002128,PR00095,8.0,23.87,0.1499,162.35
TL000000055,TR00000068,PR00424,4.0,93.99,0.1572,316.84
TL000000056,TR00000567,PR00437,3.0,83.84,0.115,222.6
TL000000057,TR00001523,PR00357,4.0,10.0,0.1166,35.33
TL000000058,TR00001060,PR00318,5.0,26.29,0.0473,125.25
TL000000059,TR00001887,PR00614,6.0,107.85,0.0924,587.28
TL000000060,TR00000185,PR00227,1.89,110.83,0.1381,180.53
TL000000061,TR00001398,PR00569,1.94,63.68,0.1403,106.22
TL000000062,TR00001032,PR00447,4.0,25.02,0.1177,88.3
TL000000063,TR00000636,PR00477,4.0,47.02,0.1224,165.07
TL000000064,TR00000953,PR00371,7.0,107.23,0.1483,639.32
TL000000065,TR00001523,PR00067,4.0,35.88,0.0998,129.21
TL000000066,TR00001232,PR00173,4.0,141.82,0.1787,465.89
TL000000067,TR00000462,PR00650,1.91,54.75,0.0693,97.32
TL000000068,TR00000993,PR00506,6.16,7.02,0.0465,41.24
TL000000069,TR00000221,PR00608,2.44,7.66,0.0051,18.6
TL000000070,TR00001860,PR00600,2.0,117.27,0.0654,219.21
TL000000071,TR00001347,PR00605,6.0,124.72,0.1352,647.13
TL000000072,TR00002145,PR00484,2.0,81.41,0.1395,140.11
TL000000073,TR00000360,PR00144,7.0,71.37,0.0808,459.19
TL000000074,TR00001658,PR00089,1.08,15.33,0.1742,13.67
TL000000075,TR00001451,PR00370,8.0,125.61,0.154,850.17
TL000000076,TR00000556,PR00272,5.0,74.41,0.1681,309.48
TL000000077,TR00002092,PR00015,2.0,118.69,0.0179,233.13
TL000000078,TR00000835,PR00598,13.0,105.0,0.1211,1199.68
TL000000079,TR00002115,PR00568,1.0,47.1,0.0299,45.69
TL000000080,TR00001698,PR00035,5.22,68.79,0.0081,356.16
TL000000081,TR00000504,PR00445,5.0,51.29,0.095,232.08
TL000000082,TR00001349,PR00633,2.0,63.66,0.0023,127.02
